"Feature"	"Mean.Resolute3(n=3)"	"Mean.SvalbardTaylor(n=6)"	"StdErr.Resolute3(n=3)"	"StdErr.SvalbardTaylor(n=6)"	"FishersTest.Pval"	"FishersTest.adjPval"	"3300038653.Resolute3"	"3300039024.Resolute3"	"3300039023.Resolute3"	"3300061232.SvalbardTaylor"	"3300061231.SvalbardTaylor"	"3300061096.SvalbardTaylor"	"3300061097.SvalbardTaylor"	"3300061098.SvalbardTaylor"	"3300061230.SvalbardTaylor"
"Acidiferrobacter"	"0"	"95"	"0"	"18.9508135269527"	"1.47403237491259e-09"	"3.12148032334431e-09"	"0"	"0"	"0"	"101"	"184"	"81"	"51"	"77"	"76"
"Acidihalobacter"	"0"	"261"	"0"	"77.4897842729393"	"1.83452625185017e-25"	"6.64160690500333e-25"	"0"	"0"	"0"	"304"	"614"	"142"	"117"	"124"	"265"
"Acidilobus"	"0"	"2.83333333333333"	"0"	"0.945750730607407"	"1"	"1"	"0"	"0"	"0"	"5"	"3"	"2"	"0"	"1"	"6"
"Acidilutibacter"	"0"	"23.5"	"0"	"8.28150549920323"	"0.0109067041616555"	"0.0144341512325255"	"0"	"0"	"0"	"59"	"32"	"9"	"12"	"4"	"25"
"Acidimangrovimonas"	"0"	"122.166666666667"	"0"	"47.4239156731894"	"3.16842405516382e-12"	"7.55892082855166e-12"	"0"	"0"	"0"	"116"	"347"	"61"	"49"	"34"	"126"
"Acidimicrobium"	"0"	"166.666666666667"	"0"	"48.7809161227808"	"2.48509762170254e-16"	"7.00902533444977e-16"	"0"	"0"	"0"	"110"	"407"	"126"	"100"	"102"	"155"
"Acidiphilium"	"0"	"432.666666666667"	"0"	"151.160547468945"	"5.19299024341781e-42"	"2.56368886593385e-41"	"0"	"0"	"0"	"457"	"1138"	"212"	"155"	"185"	"449"
"Acidipila"	"0"	"383.833333333333"	"0"	"111.179859287153"	"3.50155330731701e-37"	"1.61889997065566e-36"	"0"	"0"	"0"	"433"	"883"	"236"	"141"	"191"	"419"
"Acidiplasma"	"0"	"4"	"0"	"0.632455532033676"	"1"	"1"	"0"	"0"	"0"	"3"	"7"	"4"	"3"	"3"	"4"
"Acidipropionibacterium"	"0"	"161.5"	"0"	"57.1067713439775"	"7.82293890981565e-16"	"2.17953880583038e-15"	"0"	"0"	"0"	"205"	"405"	"65"	"37"	"59"	"198"
"Acidisarcina"	"0"	"348.166666666667"	"0"	"106.086259451658"	"6.5125605535666e-34"	"2.80083812263455e-33"	"0"	"0"	"0"	"347"	"834"	"204"	"142"	"160"	"402"
"Acidithiobacillus"	"0"	"526.833333333333"	"0"	"143.357226690685"	"6.79249845462742e-51"	"3.73937543790829e-50"	"0"	"0"	"0"	"597"	"1198"	"323"	"278"	"293"	"472"
"Acidithrix"	"0"	"464.666666666667"	"0"	"142.675544895091"	"5.89865521658784e-45"	"3.01424103890709e-44"	"0"	"0"	"0"	"317"	"1166"	"306"	"263"	"289"	"447"
"Acidobacterium"	"0"	"494.166666666667"	"0"	"148.03657581077"	"9.41806738627063e-48"	"4.97945344977081e-47"	"0"	"0"	"0"	"489"	"1195"	"319"	"206"	"265"	"491"
"Acidocella"	"0"	"242"	"0"	"98.1036866449642"	"1.20934436671332e-23"	"4.17087120661946e-23"	"0"	"0"	"0"	"234"	"702"	"97"	"58"	"95"	"266"
"Acidomonas"	"0"	"34"	"0"	"13.9379577652778"	"0.00104203151039752"	"0.00151826692101576"	"0"	"0"	"0"	"39"	"97"	"9"	"6"	"14"	"39"
"Acidomyces"	"0"	"12"	"0"	"3.25576411921994"	"0.116581633471385"	"0.137895812751939"	"0"	"0"	"0"	"15"	"16"	"10"	"3"	"4"	"24"
"Acidothermus"	"0"	"506.166666666667"	"0"	"151.634520402769"	"6.52156906427673e-49"	"3.50589048354742e-48"	"0"	"0"	"0"	"529"	"1238"	"301"	"259"	"306"	"404"
"Acidovorax"	"9"	"7718.5"	"9"	"2450.09795382416"	"0"	"0"	"0"	"0"	"27"	"7890"	"19025"	"3672"	"3412"	"3664"	"8648"
"Aciduliprofundum"	"0"	"15.6666666666667"	"0"	"2.90593262902712"	"0.0521480677220758"	"0.0643569936704289"	"0"	"0"	"0"	"18"	"28"	"13"	"12"	"7"	"16"
"Acinetobacter"	"25.6666666666667"	"620.166666666667"	"7.31057073315377"	"167.926455463231"	"1.80325172001244e-08"	"3.62233135480869e-08"	"16"	"40"	"21"	"835"	"1302"	"319"	"262"	"292"	"711"
"Actibacterium"	"0"	"262.833333333333"	"0"	"112.574543204837"	"1.2651833867795e-25"	"4.59597230299492e-25"	"0"	"0"	"0"	"224"	"795"	"108"	"78"	"73"	"299"
"Actinacidiphila"	"0"	"451.833333333333"	"0"	"160.763058913144"	"7.95933302816134e-44"	"4.02235063442097e-43"	"0"	"0"	"0"	"450"	"1226"	"254"	"209"	"179"	"393"
"Actinoallomurus"	"0"	"263.166666666667"	"0"	"84.3656393984607"	"1.31052038549868e-25"	"4.75527442257958e-25"	"0"	"0"	"0"	"253"	"671"	"156"	"156"	"111"	"232"
"Actinoalloteichus"	"0"	"223"	"0"	"66.3033433043413"	"7.98411606466066e-22"	"2.61298343934349e-21"	"0"	"0"	"0"	"206"	"545"	"136"	"126"	"120"	"205"
"Actinobacillus"	"0.333333333333333"	"29"	"0.333333333333333"	"9.78093383408081"	"0.0236257837233032"	"0.0303151826389521"	"0"	"0"	"1"	"41"	"68"	"11"	"5"	"13"	"36"
"Actinobaculum"	"0"	"43.8333333333333"	"0"	"13.4521786752597"	"0.000100029654620327"	"0.000159374037660028"	"0"	"0"	"0"	"56"	"96"	"22"	"12"	"16"	"61"
"Actinocatenispora"	"0"	"167.333333333333"	"0"	"49.699541692499"	"1.5535858028332e-16"	"4.45630162245083e-16"	"0"	"0"	"0"	"146"	"412"	"100"	"108"	"96"	"142"
"Actinocorallia"	"0"	"369.833333333333"	"0"	"125.685962267515"	"7.17480772252284e-36"	"3.2377583018258e-35"	"0"	"0"	"0"	"348"	"974"	"198"	"175"	"168"	"356"
"Actinocrispum"	"0"	"158.666666666667"	"0"	"50.0131093925494"	"1.04613757183499e-15"	"2.90704664367676e-15"	"0"	"0"	"0"	"146"	"402"	"101"	"88"	"75"	"140"
"Actinokineospora"	"0.333333333333333"	"831.5"	"0.333333333333333"	"255.296657505212"	"7.43244584086678e-78"	"5.32741755573538e-77"	"0"	"0"	"1"	"720"	"2077"	"531"	"455"	"437"	"769"
"Actinomadura"	"0"	"3420.5"	"0"	"1168.383691259"	"0"	"0"	"0"	"0"	"0"	"2831"	"9155"	"2063"	"1830"	"1638"	"3006"
"Actinomyces"	"0"	"489.166666666667"	"0"	"149.109672538184"	"1.82447545418857e-47"	"9.57074678092747e-47"	"0"	"0"	"0"	"586"	"1168"	"242"	"241"	"217"	"481"
"Actinomycetospora"	"0"	"525"	"0"	"149.624418684474"	"9.79923261565989e-51"	"5.37615433229012e-50"	"0"	"0"	"0"	"419"	"1270"	"396"	"350"	"326"	"389"
"Actinophytocola"	"0"	"368.833333333333"	"0"	"122.056384966585"	"6.75966132651065e-36"	"3.05903317657346e-35"	"0"	"0"	"0"	"321"	"969"	"219"	"207"	"190"	"307"
"Actinoplanes"	"0.333333333333333"	"3178"	"0.333333333333333"	"1107.75355261598"	"1.22356195757209e-302"	"2.20241152362976e-301"	"0"	"0"	"1"	"2834"	"8579"	"1776"	"1549"	"1512"	"2818"
"Actinopolymorpha"	"0"	"977"	"0"	"283.952343419337"	"3.37013323265154e-94"	"2.72674416096352e-93"	"0"	"0"	"0"	"842"	"2380"	"678"	"580"	"587"	"795"
"Actinopolyspora"	"0"	"173.166666666667"	"0"	"55.5790228213647"	"5.16137411395875e-17"	"1.49927857308466e-16"	"0"	"0"	"0"	"145"	"446"	"119"	"114"	"73"	"142"
"Actinorugispora"	"0"	"58.6666666666667"	"0"	"17.0482974060299"	"4.70701882415049e-06"	"8.18745293842463e-06"	"0"	"0"	"0"	"46"	"140"	"41"	"40"	"23"	"62"
