#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Unaligned	8326	6010	7699	39162	38870	42486	2795	32757	32572	26915	19365	35245	30013	22575	3983	21145	14051
root__Root;domain__Eukaryota	2773	2724	3847	68878	66328	72984	9	274	524	91	869	1071	339	8014	485	37620	3221
root__Root;domain__Bacteria	32760	23838	31523	154690	160589	164353	51115	56126	8092	28035	27730	19189	17931	106028	33048	70124	78297
root__Root;domain__Archaea	440	272	468	0	0	0	2	18451	13705	40208	1710	2027	1052	0	709	0	0
