#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Chromulinales;family__unknown	2	2	1	8	13	9	0	0	0	0	0	0	0	44	0	106	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__unknown	0	0	0	22	23	18	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__Stephanoecidae	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__Salpingoecidae	1	1	0	6	8	14	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__Acanthoecidae	0	0	0	614	525	597	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__Codosigidae;family__unknown	0	0	0	659	624	634	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__Codonosigidae;family__unknown	0	0	0	176	205	220	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chlorophyceae;order__unknown;family__unknown	13	18	14	4524	5219	5187	0	0	0	0	3	6	6	24	0	18	20
root__Root;domain__Eukaryota;phylum__unknown;class__Chlorophyceae;order__Sphaeropleales;family__unknown	0	0	0	4047	3062	2534	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chlorophyceae;order__IncertaeSedis;family__unknown	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chlorodendrophyceae;order__Chlorodendrales;family__unknown	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__ANT37-16;order__unknown;family__unknown	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__uncultured;class__unknown;order__unknown;family__unknown	0	0	1	41	29	40	0	0	0	0	0	0	0	1	0	42	1
root__Root;domain__Eukaryota;phylum__Zoopagomycota;class__Entomophthoromycetes;order__Entomophthorales;family__uncultured	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Zoopagomycota;class__Entomophthoromycetes;order__Entomophthorales;family__Entomophthoraceae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Zoopagomycota;class__Entomophthoromycetes;order__Entomophthorales;family__Ancylistaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
root__Root;domain__Eukaryota;phylum__Vertebrata;class__Mammalia;order__unknown;family__unknown	0	0	0	2	4	1	3	0	1	0	0	0	2	0	0	0	0
root__Root;domain__Eukaryota;phylum__Vertebrata;class__Actinopterygii;order__unknown;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
root__Root;domain__Eukaryota;phylum__Vertebrata;class__Actinopterygii;order__Amiiformes;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Tardigrada;class__Eutardigrada;order__Parachela;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	889	388
root__Root;domain__Eukaryota;phylum__Schizoplasmodiida;class__unknown;order__unknown;family__unknown	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1
root__Root;domain__Eukaryota;phylum__SAR;class__Labyrinthulomycetes;order__unknown;family__unknown	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	6	1
