#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__unknown;class__Prasinophytae;order__unknown;family__unknown;genus__unknown	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Pinguiophyceae;order__Pinguiochrysidales;family__unknown;genus__Pinguiochrysis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Phaeophyceae;order__unknown;family__unknown;genus__unknown	0	0	0	3	2	4	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Palmophyllophyceae;order__Palmophyllales;family__unknown;genus__Verdigellas	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Mamiellophyceae;order__unknown;family__unknown;genus__uncultured	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Mamiellophyceae;order__Mamiellales;family__unknown;genus__Bathycoccus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Mamiellophyceae;order__Dolichomastigales;family__unknown;genus__Crustomastix	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Filasterea;order__Ministeriida;family__Capsasporidae;genus__AT4-11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Eustigmatophyceae;order__Eustigmatales;family__unknown;genus__unknown	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Eustigmatophyceae;order__Eustigmatales;family__unknown;genus__phytoplankton	0	0	0	21	17	18	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Eustigmatophyceae;order__Eustigmatales;family__unknown;genus__Vischeria	8	27	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Eustigmatophyceae;order__Eustigmatales;family__unknown;genus__Trachydiscus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Eustigmatophyceae;order__Eustigmatales;family__unknown;genus__Nannochloropsis	0	0	0	825	728	668	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Discosea;order__Vannellida;family__unknown;genus__Vannella	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Discosea;order__Centramoebida;family__unknown;genus__unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Discosea;order__Centramoebida;family__unknown;genus__Acanthamoeba	1	0	0	1	0	0	0	0	0	0	23	6	13	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__unknown;family__unknown;genus__unknown	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Pedinellales;family__unknown;genus__unknown	0	0	0	606	635	726	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Pedinellales;family__unknown;genus__Pteridomonas	0	0	0	6	4	9	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Pedinellales;family__unknown;genus__Pseudopedinella	0	0	0	6	11	7	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Pedinellales;family__unknown;genus__Pedinella	0	0	0	7	2	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Pedinellales;family__unknown;genus__Helicopedinella	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Pedinellales;family__unknown;genus__FV36-2G08	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Pedinellales;family__unknown;genus__Ciliophrys	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Dictyochales;family__unknown;genus__Florenciella	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Dictyochales;family__unknown;genus__Dictyocha	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__CladeVII;order__SubcladeB;family__unknown;genus__unknown	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__CladeVII;order__SubcladeA;family__unknown;genus__unknown	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__CladeIX;order__unknown;family__unknown;genus__unknown	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__unknown;family__unknown;genus__unknown	2	0	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__uncultured;family__unknown;genus__unknown	0	0	0	321	328	349	0	0	0	0	0	0	0	3	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Synurales;family__unknown;genus__Synura	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Synurales;family__unknown;genus__Mallomonas	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__P34.48;family__unknown;genus__unknown	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__P34.45;family__unknown;genus__unknown	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Ochromonadales;family__unknown;genus__Paraphysomonas	0	0	0	212	196	234	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Ochromonadales;family__unknown;genus__Ochromonas	0	0	0	228	213	240	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Ochromonadales;family__unknown;genus__Dinobryon	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Chromulinales;family__unknown;genus__unknown	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Chromulinales;family__unknown;genus__uncultured	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Chromulinales;family__unknown;genus__Uroglena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Chromulinales;family__unknown;genus__Spumella	2	0	1	2	1	3	0	0	0	0	0	0	0	44	0	105	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Chromulinales;family__unknown;genus__Poteriospumella	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Chromulinales;family__unknown;genus__Chrysoxys	0	0	0	1	6	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Chromulinales;family__unknown;genus__Chromulina	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__unknown;genus__unknown	0	0	0	22	23	18	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__Stephanoecidae;genus__unknown	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__Stephanoecidae;genus__MarineChoanoflagellates2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
