#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__Platyhelminthes;class__Catenulida	0	0	0	0	0	0	0	0	0	0	0	74	49	0	0	0	0
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta;class__unknown	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	1	0
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta;class__Embryophyta	664	887	1188	1352	1258	1315	0	0	0	1	8	15	17	54	28	23	12
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta;class__Coleochaetophyceae	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Peronosporomycetes;class__unknown	1	1	3	0	0	2	0	0	0	0	0	0	1	5	0	4	2
root__Root;domain__Eukaryota;phylum__Pavlovophyceae;class__unknown	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__NucleariidaeandFonticulagroup;class__unknown	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
root__Root;domain__Eukaryota;phylum__Neocallimastigomycota;class__Neocallimastigomycetes	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0
root__Root;domain__Eukaryota;phylum__Nematozoa;class__Enoplea	0	6	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0
root__Root;domain__Eukaryota;phylum__Nematozoa;class__Chromadorea	0	0	9	0	0	0	0	0	0	0	0	0	0	0	94	0	0
root__Root;domain__Eukaryota;phylum__Mucoromycota;class__IncertaeSedis	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
root__Root;domain__Eukaryota;phylum__Mucoromycota;class__Glomeromycetes	5	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
root__Root;domain__Eukaryota;phylum__Mollusca;class__Polyplacophora	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-7;class__MAST-7D	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-3;class__unknown	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-2;class__unknown	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-1;class__MAST-1C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-12;class__unknown	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-12;class__MAST-12C	0	0	3	5	0	5	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Labyrinthulomycetes;class__unknown	0	0	0	628	622	724	0	0	0	0	0	7	0	0	4	1	0
root__Root;domain__Eukaryota;phylum__Labyrinthulomycetes;class__uncultured	0	1	0	16	13	15	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Klebsormidiophyceae;class__unknown	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__IncertaeSedis;class__unknown	0	0	0	243	238	258	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Hyphochytriomycetes;class__unknown	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Heterolobosea;class__Tetramitia	1	0	6	0	0	0	0	0	0	0	33	5	4	20	0	380	8
root__Root;domain__Eukaryota;phylum__Gracilipodida;class__unknown	6	5	5	0	0	0	0	0	0	0	0	8	0	10	2	11	7
root__Root;domain__Eukaryota;phylum__Gastrotricha;class__unknown	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
