#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__Apusomonadidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Apicomplexa	1	0	0	5	5	12	0	0	0	0	0	0	0	0	29	0	0
root__Root;domain__Eukaryota;phylum__Aphelidea	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Annelida	0	0	0	0	0	0	0	141	0	0	0	0	1	0	43	0	0
root__Root;domain__Bacteria;phylum__unknown	0	0	0	0	0	0	0	1	0	0	0	14	19	0	0	0	0
root__Root;domain__Bacteria;phylum__uncultured	0	0	0	0	0	0	0	4	0	21	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Zixibacteria	0	0	0	0	0	0	0	574	0	18	6	29	8	0	3	0	0
root__Root;domain__Bacteria;phylum__WS2	0	0	5	0	0	0	0	281	0	66	0	0	0	0	6	0	0
root__Root;domain__Bacteria;phylum__WS1	0	0	0	0	0	0	0	270	0	21	0	0	3	0	0	0	0
root__Root;domain__Bacteria;phylum__WPS-2	0	3	0	0	0	0	0	2	0	0	0	2	1	73	0	35	48
root__Root;domain__Bacteria;phylum__WOR-1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
root__Root;domain__Bacteria;phylum__Verrucomicrobiota	429	326	376	6088	6604	6053	0	573	0	756	605	1106	2291	23	1119	1611	6
root__Root;domain__Bacteria;phylum__Thermotogota	0	0	0	0	0	0	0	3417	0	252	0	0	1	0	0	0	0
root__Root;domain__Bacteria;phylum__TX1A-33	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
root__Root;domain__Bacteria;phylum__TA06	0	0	0	0	0	0	0	85	0	41	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Synergistota	0	0	0	0	0	0	0	199	0	4	0	1	3	0	0	0	0
root__Root;domain__Bacteria;phylum__Sva0485	0	0	0	0	0	0	0	150	0	306	8	4	1	0	2	0	0
root__Root;domain__Bacteria;phylum__Sumerlaeota	8	3	6	1	0	0	0	31	0	20	81	10	149	0	4	0	0
root__Root;domain__Bacteria;phylum__Spirochaetota	0	0	0	0	0	0	0	554	0	264	0	5	2	0	0	0	0
root__Root;domain__Bacteria;phylum__Schekmanbacteria	0	0	0	0	0	0	0	15	0	0	38	27	30	0	0	0	0
root__Root;domain__Bacteria;phylum__SAR324cladeMarinegroupB	1	3	1	0	0	0	1	52	0	2	11	94	29	0	24	0	0
root__Root;domain__Bacteria;phylum__RCP2-54	0	0	2	0	0	0	0	2	0	4	250	133	34	0	49	0	0
root__Root;domain__Bacteria;phylum__Proteobacteria	5992	4651	6476	27069	31114	29548	14604	5456	0	237	5508	3839	3241	10430	9986	10655	10195
root__Root;domain__Bacteria;phylum__Poribacteria	0	0	0	0	0	0	0	1	0	0	0	23	5	0	0	0	0
root__Root;domain__Bacteria;phylum__Planctomycetota	1042	764	912	3973	4045	3891	2	1681	0	246	1619	923	762	127	3169	152	166
root__Root;domain__Bacteria;phylum__Patescibacteria	69	90	118	222	232	232	0	636	56	81	136	646	213	1366	204	2103	480
root__Root;domain__Bacteria;phylum__PAUC34f	0	0	0	0	0	0	0	13	0	5	0	10	35	0	0	0	0
root__Root;domain__Bacteria;phylum__Nitrospirota	48	19	36	0	0	0	0	2	0	3	844	476	689	1	338	4	2
root__Root;domain__Bacteria;phylum__Nitrospinota	0	0	0	0	0	0	0	24	0	14	47	71	69	0	2	0	0
root__Root;domain__Bacteria;phylum__NKB15	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0
root__Root;domain__Bacteria;phylum__NB1-j	0	0	0	5	2	0	0	121	0	9	134	32	17	0	147	0	0
root__Root;domain__Bacteria;phylum__Myxococcota	690	585	586	2	0	0	0	83	0	17	1393	827	966	1204	1194	324	935
root__Root;domain__Bacteria;phylum__Modulibacteria	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Methylomirabilota	0	0	0	0	0	0	0	3	0	4	2347	1930	2374	0	1051	0	0
root__Root;domain__Bacteria;phylum__MarinimicrobiaSAR406clade	0	0	0	0	0	0	0	87	0	12	0	5	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Margulisbacteria	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
root__Root;domain__Bacteria;phylum__MBNT15	0	0	0	0	0	0	0	22	0	0	63	69	30	0	91	0	0
root__Root;domain__Bacteria;phylum__MAT-CR-M4-B07	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Latescibacterota	0	0	0	0	0	0	0	419	0	50	371	188	35	0	372	0	0
root__Root;domain__Bacteria;phylum__LCP-89	0	0	0	0	0	0	0	214	0	8	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Hydrothermae	0	0	0	0	0	0	0	429	4598	2862	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Hydrogenedentes	2	0	0	0	0	0	0	40	0	4	56	26	26	0	10	0	0
root__Root;domain__Bacteria;phylum__Halanaerobiaeota	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Gemmatimonadota	1274	942	1141	6	10	5	0	118	0	8	335	261	377	132	1045	155	117
root__Root;domain__Bacteria;phylum__GN01	0	0	0	0	0	0	0	2	0	38	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__GAL15	0	0	0	0	0	0	0	0	0	2	235	179	81	0	0	0	0
root__Root;domain__Bacteria;phylum__Fusobacteriota	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
root__Root;domain__Bacteria;phylum__Firmicutes	86	43	53	10	9	5	0	209	30	57	533	96	76	22438	66	8282	8737
root__Root;domain__Bacteria;phylum__Fibrobacterota	3	14	2	0	0	0	0	43	0	1	0	10	17	15	2	25	19
root__Root;domain__Bacteria;phylum__Fermentibacterota	0	0	0	0	0	0	0	123	0	3	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__FW113	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
root__Root;domain__Bacteria;phylum__FCPU426	0	0	0	0	0	0	0	0	0	0	0	6	10	0	1	0	0
root__Root;domain__Bacteria;phylum__Entotheonellaeota	2	0	2	0	0	0	0	0	0	0	292	362	143	0	76	0	0
root__Root;domain__Bacteria;phylum__Elusimicrobiota	5	13	10	2	0	0	0	17	0	1	18	100	204	0	6	0	0
root__Root;domain__Bacteria;phylum__Desulfobacterota	6	0	8	3	2	2	0	18964	1377	15242	289	192	92	93	135	52	295
root__Root;domain__Bacteria;phylum__Dependentiae	8	0	0	812	941	1048	0	41	0	5	22	32	26	0	44	0	0
root__Root;domain__Bacteria;phylum__Deinococcota	17	46	35	0	0	0	0	0	0	0	0	0	0	843	10	435	731
